Column12;Column2;Column3;Column4
G.10.a.01;Descriptor;Building and Construction;Knowledge of concepts, principles, methods, materials and tools involved in the construction, maintenance and repair of houses, buildings or infrastructures such as highways and roads. 
G.10.a.02;Descriptor;Computer, Technology and Information Systems;Knowledge of concepts, principles, processes, techniques and tools for technological and digital systems, devices and products, such as hardware or software development, assembling, programming, use, troubleshooting or maintenance.
G.10.a.03;Descriptor;Electrical and Electronics;Knowledge of concepts, principles, techniques and tools applied for the development, use, repair and maintenance of electronic and electrical products and devices.
G.10.a.04;Descriptor;Mechanics and Machinery;Knowledge of parts, standards and functioning of machines, vehicles, equipment or tools and techniques used for their repair or maintenance.
G.10.a.05;Descriptor;Telecommunications;Knowledge of concepts, principles, processes, techniques and tools of the transmission of information via wire, radio, optical fiber or other electromagnetic system for the use, repair, maintenance, control or operation of telecommunications systems.
G.10.a.06;Descriptor;Vehicle, Machinery and Equipment Operation;Knowledge of the parts and functioning of vehicles, machinery or equipment and of techniques and practices for their safe and efficient use.
G.11;Sub-Category;Foundational Knowledge;Organized set of principles and practices that are fundamental to the acquisition of new knowledge.
G.11.a;Similarity Group;Foundational Knowledge;
G.11.a.01;Descriptor;Languages;Knowledge of vocabulary, grammar structure and rules, spelling and pronunciation of words in one or both official languages, Indigenous languages and non-official languages.
G.11.a.02;Descriptor;Mathematics;Knowledge of concepts, principles, methods and applications of arithmetic, algebra, geometry, trigonometry, differential and integral calculus, probability and statistics.
J;Category;Work Context;Physical, environmental and social factors that influence the nature of work.
J.01;Sub-Category;Structural Job Characteristics;The components that define the structural aspect of the job.
J.01.a;Similarity Group;Criticality of Position;
J.01.a.01;Descriptor;Consequence of Error;The impact on outcomes of a mistake, which was not readily correctable, made by the worker.
J.01.a.02;Descriptor;Freedom to Make Decisions;The job allows the worker to make decisions without supervision.
J.01.a.03;Descriptor;Frequency of Decision Making;The job requires the worker to make decisions that affect other people, the financial resources and/or the image and reputation of the organization.
J.01.a.04;Descriptor;Impact of Decisions;The impact on the organization or colleagues of decisions made by the worker. A decision is understood as a conclusion or resolution reached after consideration.
J.01.b;Similarity Group;Various Challenge Types;
J.01.b.01;Descriptor;Automation;The job requires operation, manipulation or handling of automated systems, processes or machines.
J.01.b.02;Descriptor;Precision;The job requires the worker to be exact or accurate.
J.01.b.03;Descriptor;Structured versus Unstructured Work;The extent to which the job is structured for the worker, rather than allowing the worker to determine tasks, priorities and goals.
J.01.b.04;Descriptor;Tasks Repetition;The job requires repetitive tasks in the performance of work.
J.01.c;Similarity Group;Pace and Scheduling;
J.01.c.01;Descriptor;Pace Determined by Speed of Equipment;The job requires maintaining pace with the speed of the equipment, machines or computers. This does not refer to always being occupied while in the position.
J.01.c.02;Descriptor;Time Pressure;The job requires working under pressure, meeting strict deadlines or dealing with competing priorities.
J.01.c.03;Descriptor;Type of Work Schedules;The type of schedule usually required for the job.
J.01.c.04;Descriptor;Work Week Duration;Number of hours typically worked over a period of 7 days.
J.01.d;Similarity Group;Level of Competition;
J.01.d.01;Descriptor;Competition;The job requires competing with coworkers or being aware of competitive pressures between them or among businesses within the same industry.
J.01.e;Similarity Group;Working with Computers;
J.01.e.01;Descriptor;Working with Computers;The job requires using computers, computer systems or equipment with digital interfaces to perform work activities.
J.02;Sub-Category;Physical Work Environment;The physical surroundings in which the worker performs their job.
J.02.a;Similarity Group;Exposure to Job Hazards;
J.02.a.01;Descriptor;Dangerous Locations;The job requires working in locations that are inherently treacherous and are potential sources of injury. Such work locations include among others, construction sites, underground sites, erected support structures and marine environments.
J.02.a.02;Descriptor;Fire, Steam, Hot Surfaces;The job requires being exposed to fire (rather than being exposed to flammable substances), to emissions of steam or to intensely hot surfaces that are potential sources of injury.
J.02.a.03;Descriptor;Flying Particles, Falling Objects;The job requires being exposed to flying particles and falling objects or materials in the work environment that pose the risk of bodily injury. Flying particles refer to particles such as wood chips, metal particles and rock chips generated by the handling, crushing, grinding, rapid impact or explosion of materials.
J.02.a.04;Descriptor;Hazardous Conditions;The job requires being exposed to conditions that involves risks of accidents such as high voltage electricity, flammable material or explosives.
J.02.a.05;Descriptor;Hazardous Equipment, Machinery, Tools;The job requires working near or with equipment, instruments, machinery or power hand tools that may be a potential source of accident or injury.
J.02.a.06;Descriptor;High Places;The job requires being exposed to elevated places such as poles, scaffolding, catwalks or ladders longer than two meters in length.
J.02.a.07;Descriptor;Radiation;The job requires being exposed to ionizing radiation such as X-rays and radioactive substances or non-ionizing radiation such as radio frequencies and infrared, ultraviolet or visible light that may affect health adversely.
J.02.a.08;Descriptor;Cramped Work Space, Awkward Positions;The job requires working in confined space that requires getting into uncomfortable positions.
J.02.a.09;Descriptor;Skin Injury;The job requires being exposed to the risks of minor burns, cuts, bites or stings.
J.02.b;Similarity Group;Work Setting;
J.02.b.01;Descriptor;In an Enclosed Vehicle or Equipment;The job requires working in a closed vehicle or equipment, such as a car, truck or heavy equipment.
J.02.b.02;Descriptor;In an Open Vehicle or Equipment;The job requires working in an open vehicle or equipment, such as a tractor.
J.02.b.03;Descriptor;Indoors, Environmentally Controlled;The job requires working inside a building with controlled temperature and humidity conditions.
J.02.b.04;Descriptor;Indoors, Not Environmentally Controlled;The job requires working inside a building where the temperature and humidity are not controlled, such as a warehouse without heat.
J.02.b.05;Descriptor;Outside, Exposed to Weather;The job requires working outdoors and being subject to variations in weather conditions and seasonal weather patterns.
J.02.b.06;Descriptor;Outside, Under Cover;The job requires working outdoors, protected from variations in weather conditions and seasonal weather patterns by a covered space, such as a structure with a roof but no walls.
J.02.b.07;Descriptor;Physical Proximity;The job requires performing tasks while being physically close to other people.
J.02.c;Similarity Group;Environmental Conditions;
J.02.c.01;Descriptor;Biological Agents;The job requires being exposed to bacteria, viruses and fungi that may cause illness due to direct or indirect contact.
J.02.c.02;Descriptor;Dangerous Chemical Substances;The job requires being exposed to contaminants, such as pollutants, gases or dust, through inhalation, ingestion or contact with skin.
J.02.c.03;Descriptor;Vibration;The job requires being exposed to oscillating or quivering motion of the body while performing tasks.
J.02.c.04;Descriptor;Sound and Noise;The job requires being exposed to sound and noise levels that are distracting or uncomfortable, regardless of the equipment used by the workers.
J.02.c.05;Descriptor;Extremely Bright or Inadequate Lighting;The job requires working in extremely bright or inadequate lighting conditions.
J.02.c.06;Descriptor;Extreme Temperatures;The job requires being exposed to very hot (above 32.2 Â°C) or very cold (below 0 Â°C) temperatures.
J.02.c.07;Descriptor;Odours;The job requires being exposed to noxious, intense or prolonged odours.
J.02.d;Similarity Group;Safety Equipment Required;
J.02.d.01;Descriptor;Specialized Safety Equipment;The job requires wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits or radiation protection.
J.02.d.02;Descriptor;Standard Safety Equipment;The job requires wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets.
J.03;Sub-Category;Physical Demands;The physical efforts or movements required by the occupation to perform the work.
J.03.a;Similarity Group;Body Positioning;
J.03.a.01;Descriptor;Bending or Twisting the Body;The job requires leaning forwards or backwards or moving the body torsionally.
J.03.a.02;Descriptor;Climbing;The job requires going up and down ladders, scaffolds or poles.
J.03.a.03;Descriptor;Crawling;The job requires moving in a prone position, with the body resting on or close to the ground, on the hands and knees.
J.03.a.04;Descriptor;Crouching;The job requires powering the body stance by bending the legs.
J.03.a.05;Descriptor;Handling Material Manually;The job requires using your hands to handle, control or feel objects, tools or controls (excluding mouse and keyboard).
J.03.a.06;Descriptor;Keeping or Regaining Balance;The job requires maintaining your body in a steady position or recovering balance.
J.03.a.07;Descriptor;Kneeling;The job requires positioning the body so that one or both knees rest on the floor.
J.03.a.08;Descriptor;Making Repetitive Motions;The job requires repeating the same movement.
J.03.a.09;Descriptor;Sitting;The job requires being in a position where the body weight is supported by the buttocks.
J.03.a.10;Descriptor;Standing;The job requires maintaining an upright position supported by oneâ€™s feet.
J.03.a.11;Descriptor;Walking and Running;The job requires lifting and setting down each foot in turn in order to move forward at a certain pace.
J.03.a.12;Descriptor;Reaching;The job requires extending one or both arms to grasp or touch a person or an object.
J.03.a.13;Descriptor;Stooping;The job requires standing or walking with an inclination of the head, body or shoulders.
J.03.a.14;Descriptor;Keyboarding;The job requires using a panel of keys for typing on an electronic device or computer.
J.03.b;Similarity Group;Body Exertion;
J.03.b.01;Descriptor;Carrying;The job requires holding things while moving.
J.03.b.02;Descriptor;Lifting;The job requires raising an object using the hands and arms.
J.03.b.03;Descriptor;Pulling;The job requires taking hold of an object to move it toward oneself.
J.03.b.04;Descriptor;Pushing;The job requires exerting force in order to move an object forward.
J.03.c;Similarity Group;Speaking and Seeing;
J.03.c.01;Descriptor;Speaking;The job requires conveying information in spoken language.
J.03.c.02;Descriptor;Visual Acuity;The job requires distinguishing fine details in things or in the environment.
J.04;Sub-Category;Interpersonal Relations;The human interactions required to perform the job.
J.04.a;Similarity Group;Job Interactions;
J.04.a.01;Descriptor;Conflict Situations;The job requires being confronted with disputes or disagreements with or between customers, employees or other parties.
J.04.a.02;Descriptor;Contact with Others;The job requires being in contact with others, face-to-face, by telephone or otherwise, to perform tasks.
J.04.a.03;Descriptor;Coordinating or Leading Others;The job requires providing guidance or direction to coworkers or subordinates in accomplishing work activities.
J.04.a.04;Descriptor;Deal With External Customers;The job requires working with members outside of the organization, including clients and the public.
J.04.a.05;Descriptor;Work with Group or Team;The job requires working with others in a group or team.
J.04.a.06;Descriptor;Deal with Physically Aggressive People;The job requires dealing with individuals that have violent behaviour.
J.04.a.07;Descriptor;Dealing With Unpleasant or Angry People;The job requires dealing with disagreeable, furious or discourteous individuals.
J.04.b;Similarity Group;Communication Methods;
J.04.b.01;Descriptor;Electronic Mail;The job requires the use of an electronic communication device to send and receive messages.
J.04.b.02;Descriptor;Face-to-Face Discussions;The job requires having in-person discussions with individuals or teams.
J.04.b.03;Descriptor;Written Communications;The job requires producing administrative or creative written communications.
J.04.b.04;Descriptor;Public Speaking;The job requires delivering speeches to an audience (a minimum of five persons).
J.04.b.05;Descriptor;Telephone;The job requires communicating with others by using a telephone or hand-held radios.
J.04.b.06;Descriptor;Videoconference;The job requires using videoconference software to participate in meetings and conversations.
J.04.c;Similarity Group;Interpersonal Responsibilities;
J.04.c.01;Descriptor;Responsibility for Outcomes and Results of Other Workers;The job requires assuming the responsibility for the end product and effects of other workersâ€™ work.
J.04.c.02;Descriptor;Responsibility for Health and Safety of Others;The job requires ensuring the health, safety and security of others.
K;Category;Work Activities;General types of work-related activities.
K.01;Sub-Category;Information-Oriented Activities;Information and data management and processing activities that are necessary to meet the requirements of the job.
K.01.a;Similarity Group;Looking for and Receiving Job-Related Information;
K.01.a.01;Descriptor;Getting Information;Observing, receiving or obtaining information from all relevant sources.
K.01.a.02;Descriptor;Monitoring Processes, Materials or Systems;Tracking and reviewing information regularly from processes, materials, equipment, events, environments, people, conditions, projects, products, programs or policies to assess their status, monitor progress or identify potential issues.
K.01.a.06;Descriptor;Analyzing Data or Information;Identifying the underlying principles, reasons or facts of information by breaking down information or data into separate parts.
K.01.a.07;Descriptor;Developing Technical Instructions;Providing detailed instructions, drawings, specifications or other documentation to inform how devices, parts, equipment or structures are to be fabricated, constructed, assembled, modified, maintained or used.
K.01.a.08;Descriptor;Documenting and Recording Information;Entering, transcribing, recording, storing, or maintaining information in written, electronic or magnetic form.
K.01.a.09;Descriptor;Performing Administrative Activities;Performing daily administrative activities that support the efficient operation of an office such as answering, screening and dispatching calls, photocopying, scanning, faxing documents, checking, receiving and sending mail and emails, and obtaining approvals and signatures.
K.01.b;Similarity Group;Identify and Evaluating Job-Relevant Information;
K.01.b.01;Descriptor;Identifying Objects, Actions and Events;Identifying information by categorizing, recognizing differences or similarities, and detecting changes in facts, conditions or situations.
K.01.b.02;Descriptor;Estimating Quantifiable Characteristics;Estimating cost, resources or materials needed to perform a work activity.
K.01.b.03;Descriptor;Inspecting Equipment, Structures or Material;Observing or testing the condition of equipment, structures or materials to identify any defects, faults, signs of damage, wear and tear or non-compliance and to ensure operational efficiency.
K.01.b.04;Descriptor;Processing Information;Compiling, classifying, tabulating, coding or verifying information or data.
K.01.b.05;Descriptor;Writing or Composing;Write texts or content for educational, operational, legislative, scientific, public policy, entertainment, artistic or promotional purposes, including musical composition.
K.02;Sub-Category;Physically-Oriented Activities;The physical activities that are performed, equipment and vehicles that are operated or any other technical activities accomplished to meet the requirements of the job.
K.02.a;Similarity Group;Performing Physical and Manual Work Activities;
K.02.a.01;Descriptor;Handling and Manipulating Objects;Using hands, hand-held or power tools to install, fabricate, maintain, clean, repair, place, move or manipulate objects or materials.
K.02.a.02;Descriptor;Operating Vehicles, Mechanized Devices or Equipment;Manoeuvring, navigating or driving vehicles or mechanized equipment, such as forklifts, passenger vehicles, aircraft or watercraft.
K.02.a.04;Descriptor;Controlling Machines and Processes;Using mechanisms or physical activity to control the operation of machines (excluding computers or vehicles) or processes.
K.02.a.09;Descriptor;Performing Physical Activities;Performing activities requiring physical effort and the use of arms and legs or movement of the whole body.
K.02.b;Similarity Group;Performing Complex and Technical Activities;
K.02.b.03;Descriptor;Electronic Maintenance;Servicing, repairing, calibrating, regulating, fine-tuning or testing machines, devices and equipment that operate on electrical or electronic principles.
K.02.b.05;Descriptor;Mechanical Maintenance;Servicing, repairing, adjusting or testing machines, devices, moving parts and equipment that operate on mechanical principles.
K.03;Sub-Category;Mental Process-Oriented Activities;The processing, planning, problem solving and decision-making activities that are necessary for the overall completion of a job.
K.03.a;Similarity Group;Information and Data Processing;
K.03.a.01;Descriptor;Judging Quality;Determining the value, merit, importance or quality of materials, products, services or individuals.
K.03.a.02;Descriptor;Evaluating ;Assessing products, services, processes, programs or policies systemically to determine their effectiveness, value, impact, performance or compliance with established objectives, standards or regulations.
K.03.a.03;Descriptor;Calculating;Performing mathematical operations by applying rules corresponding to assigned operational tasks.
K.03.b;Similarity Group;Reasoning and Decision Making;
K.03.b.01;Descriptor;Making Decisions;Choosing the best options to be implemented based on the analysis of information and the evaluation of potential outcomes.
K.03.b.02;Descriptor;Thinking Creatively;Generating innovative or creative ideas to develop or design new application, products, including artistic contributions.
K.03.b.03;Descriptor;"Setting Objectives and Formulating Strategies	";Establishing short, medium, or long-term vision, goals or objectives and determining overarching strategies to achieve them.
K.03.b.04;Descriptor;Updating and Applying Knowledge;Acquiring and maintaining job-relevant theoretical and technical knowledge and applying it with discernment based on context.
K.03.b.05;Descriptor;Examining and Diagnosing;Assessing conditions through examination or testing and make a diagnosis for the appropriate treatments or intervention to be developed when relevant.
K.03.b.06;Descriptor;Managing Resources;Determining, acquiring, monitoring and controlling any kind of resources and overseeing the spending of money.
K.03.b.07;Descriptor;Planning and Organizing;Developing specific goals and plans to prioritize and organize tasks to get the work done.
K.03.b.08;Descriptor;Scheduling Work and Activities;Scheduling events, programs and activities, as well as the work of others.
K.04;Sub-Category;People-Oriented Activities;The activities where social interaction with others is necessary to meet the requirements of the job.
K.04.a;Similarity Group;Communicating and Interacting;
K.04.a.01;Descriptor;Communicating with Coworkers;Sharing or providing information or advice to management, supervisors, coworkers and subordinates on work related topics.
K.04.a.02;Descriptor;Coordinating the Work and Activities of Others;Getting members of a group to work together to accomplish tasks.
K.04.a.04;Descriptor;Interpreting the Meaning of Information for Others;Translating or explaining what information means and how it can be used.
K.04.a.05;Descriptor;Protecting and Enforcing Rules;Responding to public safety, security and cybersecurity needs and enforcing compliance with rules, standards, regulations and laws.
K.04.a.06;Descriptor;Communicating with Persons Outside Organization;Sharing or exchanging information with people outside the organization, representing the organization to customers, the public, government or other external sources.
K.04.a.07;Descriptor;Establishing and Maintaining Interpersonal Relationships;Developing respectful, constructive and cooperative working relationships with others and maintaining them over time.
K.04.a.08;Descriptor;Selling or Influencing Others;Convincing others to buy goods or services, or to change their minds or actions.
K.04.a.09;Descriptor;Performing for or Working Directly with the Public;Working or interacting directly with the public or performing for public audiences.
K.04.a.12;Descriptor;Assisting and Caring for Others;Providing personal assistance, medical attention, emotional support or other care to customers, clients or patients.
K.04.b;Similarity Group;Coordinating, Developing, Managing and Advising;
K.04.b.01;Descriptor;Coaching and Developing Others;Identifying the developmental needs of others and coaching, mentoring or otherwise helping others to improve their knowledge or skills.
K.04.b.02;Descriptor;Providing Consultation and Advice;Providing recommendations, guidance or advice within their area of expertise to management, groups, stakeholders, businesses, professionals and individuals.
K.04.b.03;Descriptor;Resolving Conflicts and Negotiating with Others;Handling complaints, settling disputes and resolving grievances and conflicts, or otherwise negotiating with others.
K.04.b.04;Descriptor;Supervising Subordinates;Providing guidance and direction to subordinates, including the establishment of work outcomes for performance monitoring.
K.04.b.05;Descriptor;Team Building;Encouraging and building mutual trust, respect and cooperation among team members.
K.04.b.06;Descriptor;Training and Teaching;Identifying the educational needs of others, developing formal educational or training programs or classes and teaching or instructing others.
K.04.c;Similarity Group;Performing Administrative Activities;
K.04.c.01;Descriptor;Staffing;Recruiting, interviewing, selecting and hiring personnel, promoting and retaining employees, and ensuring that human resources are assigned to the right roles with the required competencies.
