Code,Structure Type,English Name,French Name,Language ID,Alternative Title text
K02b,Similarity Group,Performing Complex and Technical Activities,Exécution d'activités complexes et techniques,,
K02b01,Descriptor,Debugging and Reprogramming,Dépanner et reprogrammer,,
K02b02,Descriptor,Artistic Designing,Conception artistique,,
K02b03,Descriptor,Electronic Maintenance,Entretien électronique,,
K02b04,Descriptor,Interacting with Computers,Utiliser des ordinateurs,,
K02b05,Descriptor,Mechanical Maintenance,Entretien mécanique,,
K02b06,Descriptor,Writing or Composing,Rédiger ou composer,,
K03,Sub-Category,Mental Process-Oriented Activities,Activités axées sur les processus mentaux,,
K03a,Similarity Group,Information and Data Processing,Traitement de l'information et des données,,
K03a01,Descriptor,Judging Quality,Juger de la qualité,,
K03a02,Descriptor,Evaluating Information to Determine Compliance,Évaluer l’information pour vérifier la conformité,,
K03a03,Descriptor,Calculating,Calculer,,
K03b,Similarity Group,Reasoning and Decision Making,Raisonnement et prise de décision,,
K03b01,Descriptor,Making Decisions,Prendre des décisions,,
K03b02,Descriptor,Thinking Creatively,Pensée créative,,
K03b03,Descriptor,Developing Objectives and Strategies,Élaborer des objectifs et des stratégies,,
K03b04,Descriptor,Applying New Knowledge,Appliquer de nouvelles connaissances,,
K03b05,Descriptor,Examining and Diagnosing,Examiner et diagnostiquer,,
K03b06,Descriptor,Managing Resources,Gérer des ressources,,
K03b07,Descriptor,Planning and Organizing,Planifier et organiser,,
K03b08,Descriptor,Scheduling Work and Activities,Établissement du calendrier du travail et des activités,,
K04,Sub-Category,People-Oriented Activities,Activités orientées vers les personnes,,
K04a,Similarity Group,Communicating and Interacting,Communiquer et interagir,,
K04a01,Descriptor,Communicating with Coworkers,Communiquer avec les collègues de travail,,
K04a02,Descriptor,Coordinating the Work and Activities of Others,Coordonner le travail et les activités d’autres personnes,,
K04a03,Descriptor,Facilitating Group Discussion,Animer des discussions de groupe,,
K04a04,Descriptor,Interpreting the Meaning of Information for Others,Interpréter l’information pour d’autres personnes,,
K04a05,Descriptor,Protecting and Enforcing,Protéger et faire respecter les lois,,
K04a06,Descriptor,Communicating with Persons Outside Organization,Communiquer avec des gens de l’extérieur de l’organisation,,
K04a07,Descriptor,Establishing and Maintaining Interpersonal Relationships,Établir et maintenir des relations interpersonnelles,,
K04a08,Descriptor,Selling or Influencing Others,Vendre ou influencer d’autres personnes,,
K04a09,Descriptor,Performing for or Working Directly with the Public,Exécuter des tâches pour le public ou travailler directement avec lui,,
K04a11,Descriptor,Interviewing,Questionner des personnes,,
K04a12,Descriptor,Assisting and Caring for Others,Offrir du soutien et soins à d’autres personnes,,
K04b,Similarity Group,"Coordinating, Developing, Managing, and Advising","Coordination, développement, gestion et conseil",,
K04b01,Descriptor,Coaching and Developing Others,Encadrer et former des personnes,,
K04b02,Descriptor,Providing Consultation and Advice,Fournir des conseils et avis,,
K04b03,Descriptor,Resolving Conflicts and Negotiating with Others,Résoudre des conflits et négocier avec d’autres personnes,,
K04b04,Descriptor,Supervising Subordinates,Superviser des subalternes,,
K04b05,Descriptor,Team Building,Développer une équipe,,
K04b06,Descriptor,Training and Teaching,Former et enseigner,,
K04c,Similarity Group,Performing Administrative Activities,Exercer des activités administratives,,
K04c01,Descriptor,Staffing,Mener des activités de dotation,,
