Code,Structure Type,English Name,French Name,Language ID,Alternative Title text
B01b01,Descriptor,Concern for Others,Préoccupation des autres,,
B01b02,Descriptor,Collaboration,Collaboration,13,Collaborative
,,,,18,Collaboratif
,,,,13,Cooperation
,,,,18,Coopération
B01b03,Descriptor,Service Orientation,Orientation axée sur le service,,
B01b04,Descriptor,Trust in Others,Confiance envers les autres,,
B01b05,Descriptor,Social Orientation,Orientation sociale,,
B02,Sub-Category,Self-Improvement,Amélioration de soi,,
B02a,Similarity Group,Adjustment,Réglage,,
B02a01,Descriptor,Adaptability,Adaptabilité,,
B02a02,Descriptor,Self-Control,Maîtrise de soi,,
B02a03,Descriptor,Stress Tolerance,Tolérance au stress,,
B02a04,Descriptor,Tolerance of Ambiguity,Tolérance à l’ambiguïté,,
B02a05,Descriptor,Resilience,Résilience,,
B02b,Similarity Group,Self-Reflective Orientation,Orientation auto-réflexive,,
B02b01,Descriptor,Self-Awareness,Connaissance de soi,,
B02b02,Descriptor,Self-Confidence,Confiance en soi,,
B02c,Similarity Group,Learning Orientation,Orientation de l'apprentissage,,
B02c01,Descriptor,Active Learning,Apprentissage actif,13,Intellectual curiosity
,,,,13,Lifelong learning
B02c02,Descriptor,Continuous Learning,Apprentissage continu,,
B03,Sub-Category,Results-Based Attributes,Attributs axés sur les résultats,,
B03a,Similarity Group,Action-Oriented,Orientation vers la réalisation,,
B03a01,Descriptor,Achievement,Accomplissement,,
B03a02,Descriptor,Initiative,Initiative,,
B03a03,Descriptor,Motivation,Motivation,13,Showing initiative
,,,,18,Faire preuve d’initiative
B03a04,Descriptor,Perseverance,Persévérance,,
B03a05,Descriptor,Risk-Taking,Prendre des risques,,
B03a06,Descriptor,Competitiveness,Être compétitif,18,Compétitivité
B03a07,Descriptor,Independence,Autonomie,,
B04,Sub-Category,Professional Conscientiousness,Conscience professionnelle,,
B04a,Similarity Group,Sense of Responsibility,Le sens des responsabilités,,
B04a01,Descriptor,Reliable,Fiable,13,Dependability
,,,,18,Fiabilité
,,,,18,Être fiable
B04a02,Descriptor,Integrity,Intégrité,,
B04a03,Descriptor,Being Responsible,Être responsable,13,Accountable
,,,,13,Sense of Responsibility
,,,,18,Responsabilisation
,,,,18,Responsabilité
B05,Sub-Category,Dynamic Thinking,Pensée dynamique,,
B05a,Similarity Group,Practical Thinking,Réflexion pratique,,
B05a01,Descriptor,Having Judgement,Avoir du jugement,18,Jugement
B05a02,Descriptor,Analytical Thinking,Pensée analytique,18,Le raisonnement analytique
,,,,18,Réflexion analytique
,,,,13,Innovation
,,,,18,Innovation
B05a03,Descriptor,Attention to Detail,Souci du détail,,
B05b,Similarity Group,Unconventional Thinking,Pensée non conventionnelle,,
B05b01,Descriptor,Creativity,Créativité,,
B05b02,Descriptor,Innovativeness,Esprit d’innovation,,
B05b03,Descriptor,Entrepreneurial Spirit,Esprit d’entrepreneuriat,,
C,Category,Interests,Intérêts,,
C01,Sub-Category,Holland Codes,Codes Holland,13,RIASEC codes
,,,,18,Codes RIASEC
C01a,Similarity Group,Interests - Holland Codes,Intérêts - Codes Holland,,
C01a01,Descriptor,Realistic,Réaliste,,
C01a02,Descriptor,Investigative,Investigateur,,
C01a03,Descriptor,Artistic,Artistique,,
C01a04,Descriptor,Social,Social,,
C01a05,Descriptor,Enterprising,Entreprenant,,
C01a06,Descriptor,Conventional,Conventionnel,,
F,Category,Skills,Compétences,,
F01,Sub-Category,Foundational Skills,Compétences fondamentales,13,Core skills
,,,,13,Basic skills
,,,,13,Fundamental skills
,,,,13,Basis skills
,,,,18,Compétences de base
,,,,18,Compétences de fondation
F01a,Similarity Group,Verbal Skills,Compétences verbales,,
F01a01,Descriptor,Oral Communication: Active Listening,Communication verbale : écoute active,,
F01a02,Descriptor,Oral Communication: Oral Comprehension,Communication verbale : compréhension orale,,
F01a03,Descriptor,Oral Communication: Oral Expression,Communication verbale : expression orale,13,Speaking
,,,,18,Parler
F01b,Similarity Group,Reading and Writing Skills,Compétences en lecture et en écriture,,
F01b01,Descriptor,Reading Comprehension,Compréhension de lecture,18,Littératie
,,,,13,Literacy
F01b02,Descriptor,Writing,Rédaction,,
F01c,Similarity Group,Mathematical Skills,Compétences mathématiques,,
F01c01,Descriptor,Numeracy,Numératie,13,Mathematics
,,,,18,Mathématiques
,,,,13,Mathematic
,,,,18,Mathématique
F01c02,Descriptor,Digital Literacy,Littératie numérique,13,Digital proficiency
,,,,13,Digital skills
,,,,13,Digital competencies
,,,,13,Digitally fluent
,,,,13,Digital capabilities
,,,,13,Digital citizenship
,,,,13,Digital capacity
,,,,13,Digital acumen
,,,,18,Acuité numérique
,,,,18,Maîtrise des technologies de l’information et de la communication
,,,,18,Habiletés technologiques
,,,,18,Citoyenneté numérique
,,,,18,Capacités numériques
,,,,18,Maîtrise du numérique
,,,,18,Compétences numériques
,,,,18,Compétence numérique
F02,Sub-Category,Analytical Skills,Compétences analytiques,13,Metacognitives
,,,,18,Métacognitives
,,,,13,Meta-cognitive
,,,,13,Metacognitive
,,,,18,Métacognitive
F02a,Similarity Group,Process Analysis Skills,Compétences en matière d'analyse des processus,,
F02a01,Descriptor,Critical Thinking,Pensée critique,13,Critical mindset
,,,,18,Esprit critique
,,,,18,État d'esprit critique
F02a02,Descriptor,Learning and Teaching Strategies,Stratégies d’apprentissage et d’enseignement,13,Learning Strategies
,,,,18,Stratégies d’apprentissage
F02a03,Descriptor,Decision Making,Prise de décisions,,
F02b,Similarity Group,Operations and Systems Analysis Skills,Compétences en matière d'analyse des opérations et des systèmes,,
F02b01,Descriptor,Evaluation,Évaluation,,
F02b02,Descriptor,Requirements Analysis,Analyse reliée aux exigences,13,Operations Analysis
,,,,18,Analyse d’opérations
F02b03,Descriptor,Systems Analysis,Analyse de systèmes,,
F02b04,Descriptor,Researching and Investigating,Recherche et enquête,,
F02b05,Descriptor,Problem Solving,Résolution de problèmes,18,Résolution de problème
,,,,18,Résolution des problèmes
,,,,13,Problem solving process
,,,,13,Problem-solving
F03,Sub-Category,Technical Skills,Compétences techniques,13,Hard skills
F03a,Similarity Group,Technical Skills,Compétences techniques,,
F03a01,Descriptor,Equipment and Tool Selection,Sélection des équipements et d'outils,13,Equipment Selection
,,,,18,Sélection d’équipement
F03a02,Descriptor,Preventative Maintenance,Maintenance préventive,13,Equipment Maintenance
,,,,18,Entretien d’équipement
F03a03,Descriptor,Setting Up,Ajustage — montage,,
F03a04,Descriptor,Operation and Control,Fonctionnement et contrôle,,
F03a05,Descriptor,Operation Monitoring of Machinery and Equipment,Surveillance du fonctionnement des équipements et de la machinerie,18,Surveillance du fonctionnement
,,,,13,Operation Monitoring
F03a06,Descriptor,Troubleshooting,Dépannage,,
F03a07,Descriptor,Repairing,Réparer,,
F03a08,Descriptor,Quality Control Testing,Test de contrôle de la qualité,13,Quality Control Analysis
,,,,18,Analyse de contrôle qualité
F03a09,Descriptor,Product Design,Conception de produit,13,Technology Design
,,,,18,Conception technologique
F03a10,Descriptor,Digital Production,Production numérique,,
F04,Sub-Category,Resource Management Skills,Compétences en gestion de ressources,,
F04a,Similarity Group,Resource Management Skills,Compétences en matière de gestion des ressources,,
F04a01,Descriptor,Management of Financial Resources,Gestion des ressources financières,,
F04a02,Descriptor,Management of Material Resources,Gestion des ressources matérielles,,
F04a03,Descriptor,Management of Personnel Resources,Gestion des ressources humaines,,
F04b,Similarity Group,Planning Skills,Compétences en matière de planification,,
F04b01,Descriptor,Operational Planning,Planification opérationnelle,,
F04b02,Descriptor,Projecting Outcomes,Projection des résultats,,
F04b03,Descriptor,Risk Management,Gestion du risque,,
F04b04,Descriptor,Strategic Planning,Planification stratégique,,
F04b05,Descriptor,Time Management,Gestion du temps,,
F04c,Similarity Group,Monitoring,Suivi de performance,,
F04c01,Descriptor,Monitoring,Suivi de performance,,
F04d,Similarity Group,Change Management and Crisis Management Skills,Compétences en matière de gestion du changement et de gestion de crise,,
F04d01,Descriptor,Change Management,Gestion du changement,,
